url,software,track,type,license,status
https://www.youtube.com/watch?v=kY0h_O1k384,DWSIM,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=F0p7G5R2x_o,DWSIM,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=Ue5G_UoF5yA,DWSIM,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=U36y8F283uM,DWSIM,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=sU_X8D9w3Vw,DWSIM,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=0k7bW9w2y0g,DWSIM,Track B,Tutorial Video,YouTube,READY
